7/13/2021,1999,1549,1299,889,899,749,
7/14/2021,1989,1549,1299,879,899,,
7/15/2021,1969,1499,1299,835,879,699,
7/16/2021,1969,1499,1149,879,849,699,509
7/17/2021,1969,1499,1149,879,849,699,
7/18/2021,1969,1499,1299,879,879,699,
7/19/2021,1969,1499,1299,879,879,699,
7/20/2021,1969,1549,1279,879,879,699,
7/21/2021,1969,1549,1299,879,879,,
7/22/2021,1969,1489,,879,819,,579
7/23/2021,1938,1549,,879,859,699,619
7/24/2021,1938,1549,,879,859,699,619
7/25/2021,1945,1499,1279,879,879,,599
7/26/2021,1899,1499,1554,,879,,679
7/27/2021,1949,1549,1554,,879,,
7/28/2021,1949,1549,1279,949,879,,884
7/29/2021,1949,1549,1199,,,,
7/30/2021,1949,1529,1199,,,699,
7/31/2021,1990,1539,1554,,819,669,
8/1/2021,1990,1539,1554,,,669,
8/2/2021,1990,1539,1554,,,679,
8/3/2021,1990,1539,1199,,839,689,579
8/4/2021,1990,1539,1199,,,,599
8/5/2021,1990,1489,1249,899,839,644,589
8/6/2021,1990,1399,1239,969,839,644,569
8/7/2021,1990,1489,1239,,879,628,569
8/8/2021,1990,1489,1218,,879,628,569
8/9/2021,1990,1489,1218,,879,628,569
8/10/2021,1990,1489,1099,949,819,639,539
8/11/2021,1990,1498,1099,799,839,635,569
8/12/2021,1990,1498,1099,948,839,629,569
8/13/2021,1999,1469,1144,,809,635,569
8/14/2021,2099,1469,1144,,809,635,569
8/15/2021,2099,1499,1144,,809,635,569
8/16/2021,2099,1499,1144,,809,635,569
8/17/2021,2289,1519,1144,,829,619,569
8/18/2021,2279,1499,1198,899,829,639,569
8/19/2021,2189,1498,1139,899,849,619,569
8/20/2021,2249,1389,1249,899,,619,569
8/21/2021,2289,1529,1249,,,619,569
8/22/2021,2249,1499,1189,,,629,569
8/23/2021,2199,1499,1189,,,639,549
8/24/2021,2249,1499,1189,1139,,719,589
8/25/2021,,1498,1199,,,669,589
8/26/2021,2199,1489,1228,,889,659,629
8/27/2021,2199,1488,1228,,869,669,629
